id,department,assignment_name,course,points_possible,assignment_id,unlock_at,lock_at,due_at,url,needs_grading_count,published,anonymous_grading,active,graded,ungraded,pc_graded,not_submitted,quiz,sas_exam,average_score,type,has_overrides,posted_at,rollover_to_course,previous_term_assignment,assignment_type,rubric_title
706940,School of Life Sciences,RESIT LIFE766 Cycle 1 Assessment (Marker 1),LIFE766-202324,,276849,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/67291/assignments/276849,0,FALSE,TRUE,TRUE,0,0,,15,FALSE,FALSE,,,FALSE,,,,,LIFE766 Oral Presentation M LEVEL rubric 23/24 - 19115
706943,School of Life Sciences,RESIT LIFE766 Written Report,LIFE766-202324,,276850,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/67291/assignments/276850,0,FALSE,TRUE,TRUE,0,0,,15,FALSE,FALSE,,,FALSE,,,,,SoLS Standard M LEVEL rubric 23/24 - 17369
706945,School of Life Sciences,RESIT LIFE764.1  Cycle 1 Presentation (40%),LIFE764-202324,,276845,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/72056/assignments/276845,0,FALSE,TRUE,TRUE,0,0,,15,FALSE,FALSE,,,FALSE,,,,,LIFE764 Oral Presentation M LEVEL rubric 23/24 - 19264
706947,School of Life Sciences,RESIT LIFE764.0  Cycle 2 Written Report (60%),LIFE764-202324,,276846,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/72056/assignments/276846,0,FALSE,TRUE,TRUE,0,0,,15,FALSE,FALSE,,,FALSE,,,,,SoLS Standard M LEVEL rubric 23/24 (1) - 19265
706949,School of Life Sciences,RESIT LIFE765.1.1  (50%) - Cycle 1 ,LIFE765-202324,,276847,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/68529/assignments/276847,0,FALSE,TRUE,TRUE,0,0,,16,FALSE,FALSE,,,FALSE,,,,,SoLS Standard M LEVEL rubric 23/24 - 17455
706951,School of Life Sciences,RESIT LIFE765.0.1  (50%) - Cycle 2 ,LIFE765-202324,,276848,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/68529/assignments/276848,0,FALSE,TRUE,TRUE,0,0,,16,FALSE,FALSE,,,FALSE,,,,,SoLS Standard M LEVEL rubric 23/24 - 17455
707024,School of Life Sciences,RESIT LIFE223.2.2 (20%) Poster Submission,OX-LIFE223QS-202324,,276920,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/71993/assignments/276920,0,FALSE,FALSE,TRUE,0,0,,441,FALSE,FALSE,,,FALSE,,,,,Stats Poster Rubric 2324 - 17674
707028,School of Life Sciences,RESIT LIFE763.0 (40%) SAQ On Campus Examination ,LIFE763-202324,,276842,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/69004/assignments/276842,0,FALSE,TRUE,TRUE,0,0,,73,FALSE,FALSE,,,FALSE,,,,,
707030,School of Life Sciences,RESIT LIFE763.1 (40%) - Data Analysis Report,LIFE763-202324,,276843,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/69004/assignments/276843,0,FALSE,TRUE,TRUE,0,0,,73,FALSE,FALSE,,,FALSE,,,,,Stats data analysis rubric - 17705
707032,School of Life Sciences,RESIT LIFE763.2 Poster (10%),LIFE763-202324,,276844,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/69004/assignments/276844,0,FALSE,TRUE,TRUE,0,0,,73,FALSE,FALSE,,,FALSE,,,,,Stats Poster Rubric 2324 - 16443
707038,School of Life Sciences,RESIT LIFE756.1 (30%) Cycle 1 Group Submission (Scientific Report),LIFE756-202324,,276840,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/69900/assignments/276840,0,FALSE,TRUE,TRUE,0,0,,41,FALSE,FALSE,,,FALSE,,,,,SoLS Standard M LEVEL rubric 23/24 (LIFE756.1) - 17438
